age,sex,DR,f,i,prev,r,,,age,sex,DR,f,i,prev,r,,,DR,f,i,prev
44,female,0.190809555,0.000409453,0.001850865,0.022837874,0,,,44,female,0.072024148,6.91774E-06,0.001413729,0.013022749,0,,,2.649244167,59.18886257,1.309207932,1.753690715
44,male,0.134916409,0.000292501,0.001732344,0.027536419,0,,,44,male,0.058016674,8.79967E-06,0.001423143,0.013043342,0,,,2.32547644,33.23998139,1.217266148,2.111147543
45,female,0.104870094,0.000444791,0.00197255,0.024694019,0,,,45,female,0.071872092,1.83471E-05,0.003090781,0.024430104,0,,,1.459121207,24.24318287,0.638204312,1.010802861
45,male,0.096024746,0.000320741,0.001833339,0.029259165,0,,,45,male,0.058636337,2.22293E-05,0.002979319,0.024289808,0,,,1.637632076,14.42876405,0.615354968,1.204586097
46,female,0.104870094,0.000473992,0.002101526,0.026667013,0,,,46,female,0.071872092,1.83471E-05,0.003090781,0.024430104,0,,,1.459121207,25.83477349,0.679933565,1.09156363
46,male,0.096024746,0.000346756,0.001951736,0.031083743,0,,,46,male,0.058636337,2.22293E-05,0.002979319,0.024289808,0,,,1.637632076,15.59906749,0.65509458,1.279703118
47,female,0.104870094,0.000497057,0.002237793,0.028763202,0,,,47,female,0.071872092,1.83471E-05,0.003090781,0.024430104,0,,,1.459121207,27.0919235,0.724021769,1.177367154
47,male,0.096024746,0.000370548,0.002087536,0.033026338,0,,,47,male,0.058636337,2.22293E-05,0.002979319,0.024289808,0,,,1.637632076,16.66936768,0.70067546,1.359678843
48,female,0.104870094,0.000513985,0.002381351,0.030988847,0,,,48,female,0.071872092,1.83471E-05,0.003090781,0.024430104,0,,,1.459121207,28.01457841,0.770468924,1.268469713
48,male,0.096024746,0.000392117,0.002240738,0.03510296,0,,,48,male,0.058636337,2.22293E-05,0.002979319,0.024289808,0,,,1.637632076,17.63966463,0.752097271,1.445172396
49,female,0.104870094,0.000548852,0.002530413,0.033348873,0,,,49,female,0.071872092,1.83471E-05,0.003090781,0.024430104,0,,,1.459121207,29.91499244,0.818696858,1.365072904
49,male,0.096024746,0.000421712,0.002417324,0.037332114,0,,,49,male,0.058636337,2.22293E-05,0.002979319,0.024289808,0,,,1.637632076,18.97101694,0.811367855,1.536945621
50,female,0.104870094,0.000607794,0.002677688,0.035843177,0,,,50,female,0.071847067,4.79062E-05,0.003776671,0.042056498,0,,,1.459629445,12.68716155,0.709007525,0.852262521
50,male,0.096024746,0.000461557,0.002599892,0.039726317,0,,,50,male,0.058771771,5.72896E-05,0.003585762,0.040995619,0,,,1.633858291,8.056556107,0.725059822,0.969038107
51,female,0.104870094,0.000690811,0.002823176,0.038467807,0,,,51,female,0.071847067,4.79062E-05,0.003776671,0.042056498,0,,,1.459629445,14.42006791,0.747530343,0.914669762
51,male,0.096024746,0.000511653,0.002788441,0.042289401,0,,,51,male,0.058771771,5.72896E-05,0.003585762,0.040995619,0,,,1.633858291,8.930990326,0.777642508,1.031559031
52,female,0.104870094,0.000797904,0.002966877,0.041218593,0,,,52,female,0.071847067,4.79062E-05,0.003776671,0.042056498,0,,,1.459629445,16.65553946,0.785579993,0.980076682
52,male,0.096024746,0.000572,0.002982972,0.045024957,0,,,52,male,0.058771771,5.72896E-05,0.003585762,0.040995619,0,,,1.633858291,9.984357497,0.831893458,1.09828704
53,female,0.104870094,0.000929073,0.003108791,0.04409113,0,,,53,female,0.071847067,4.79062E-05,0.003776671,0.042056498,0,,,1.459629445,19.39357618,0.823156474,1.048378541
53,male,0.096024746,0.000642598,0.003183484,0.047936323,0,,,53,male,0.058771771,5.72896E-05,0.003585762,0.040995619,0,,,1.633858291,11.21665762,0.887812395,1.169303555
54,female,0.104870094,0.001084317,0.003248917,0.047080773,0,,,54,female,0.071847067,4.79062E-05,0.003776671,0.042056498,0,,,1.459629445,22.63415721,0.860259523,1.119464893
54,male,0.096024746,0.000723445,0.003389978,0.051026564,0,,,54,male,0.058771771,5.72896E-05,0.003585762,0.040995619,0,,,1.633858291,12.62785579,0.945399595,1.244683341
55,female,0.101947412,0.001293094,0.003389213,0.050182861,0,,,55,female,0.071267969,0.000107896,0.003856025,0.060714793,0,,,1.430480106,11.98468615,0.878939542,0.826534334
55,male,0.096929118,0.000854444,0.003616161,0.0543039,0,,,55,male,0.058865234,0.00013674,0.003798094,0.058916266,0,,,1.646627578,6.248664192,0.952098796,0.921713199
56,female,0.101947412,0.001531329,0.003531465,0.053394026,0,,,56,female,0.071267969,0.000107896,0.003856025,0.060714793,0,,,1.430480106,14.19270173,0.91583038,0.879423669
56,male,0.096929118,0.001025344,0.00385605,0.057778888,0,,,56,male,0.058865234,0.00013674,0.003798094,0.058916266,0,,,1.646627578,7.498478937,1.015259156,0.980695009
57,female,0.101947412,0.001799021,0.003675674,0.056711906,0,,,57,female,0.071267969,0.000107896,0.003856025,0.060714793,0,,,1.430480106,16.67373142,0.953228736,0.934070647
57,male,0.096929118,0.001236144,0.004109646,0.061458727,0,,,57,male,0.058865234,0.00013674,0.003798094,0.058916266,0,,,1.646627578,9.040087763,1.08202843,1.043153804
58,female,0.101947412,0.002096171,0.003821839,0.06013378,0,,,58,female,0.071267969,0.000107896,0.003856025,0.060714793,0,,,1.430480106,19.42778448,0.991134349,0.990430454
58,male,0.096929118,0.001486845,0.004376949,0.065349828,0,,,58,male,0.058865234,0.00013674,0.003798094,0.058916266,0,,,1.646627578,10.87349798,1.15240662,1.1091984
59,female,0.101947412,0.002422778,0.003969961,0.063656555,0,,,59,female,0.071267969,0.000107896,0.003856025,0.060714793,0,,,1.430480106,22.45485164,1.02954748,1.048452146
59,male,0.096929118,0.001777446,0.004657958,0.069457749,0,,,59,male,0.058865234,0.00013674,0.003798094,0.058916266,0,,,1.646627578,12.99870228,1.226393461,1.178923135
60,female,0.101947412,0.002778843,0.004120039,0.067276769,0,,,60,female,0.070840255,0.000244052,0.005902603,0.082957758,0,,,1.439116962,11.38629021,0.698003782,0.81097622
60,male,0.096929118,0.002107947,0.004952674,0.073787143,0,,,60,male,0.058722837,0.000302209,0.006147836,0.081327019,0,,,1.650620486,6.975135786,0.805596276,0.90728941
61,female,0.101947412,0.003152471,0.004275182,0.070992416,0,,,61,female,0.070840255,0.000244052,0.005902603,0.082957758,0,,,1.439116962,12.91722839,0.724287612,0.855765846
61,male,0.096929118,0.00247843,0.005276814,0.078348928,0,,,61,male,0.058722837,0.000302209,0.006147836,0.081327019,0,,,1.650620486,8.201053341,0.858320517,0.963381285
62,female,0.101947412,0.003514204,0.004433433,0.074803086,0,,,62,female,0.070840255,0.000244052,0.005902603,0.082957758,0,,,1.439116962,14.39942689,0.751097988,0.901700911
62,male,0.096929118,0.002848995,0.00561667,0.083155314,0,,,62,male,0.058722837,0.000302209,0.006147836,0.081327019,0,,,1.650620486,9.427242231,0.913601105,1.022480783
63,female,0.101947412,0.003864043,0.004594792,0.078708321,0,,,63,female,0.070840255,0.000244052,0.005902603,0.082957758,0,,,1.439116962,15.8328898,0.778434912,0.948775894
63,male,0.096929118,0.00321964,0.005972243,0.088212725,0,,,63,male,0.058722837,0.000302209,0.006147836,0.081327019,0,,,1.650620486,10.65369584,0.971438201,1.084666894
64,female,0.101947412,0.004201986,0.00475926,0.08270765,0,,,64,female,0.070840255,0.000244052,0.005902603,0.082957758,0,,,1.439116962,17.21760893,0.806298552,0.996985116
